Acc,Name,Desc
PF00052.17,Laminin_B,Laminin B (Domain IV)
PF00053.23,Laminin_EGF,Laminin EGF domain
PF00054.22,Laminin_G_1,Laminin G domain
PF00055.16,Laminin_N,Laminin N-terminal (Domain VI)
PF00056.22,Ldh_1_N,"lactate/malate dehydrogenase, NAD binding domain"
PF00057.17,Ldl_recept_a,Low-density lipoprotein receptor domain class A
PF00058.16,Ldl_recept_b,Low-density lipoprotein receptor repeat class B
PF00059.20,Lectin_C,Lectin C-type domain
PF00060.25,Lig_chan,Ligand-gated ion channel
PF00061.22,Lipocalin,Lipocalin / cytosolic fatty-acid binding protein family
PF00062.19,Lys,C-type lysozyme/alpha-lactalbumin family
PF00063.20,Myosin_head,Myosin head (motor domain)
PF00064.17,Neur,Neuraminidase
PF00066.16,Notch,LNR domain
PF00067.21,p450,Cytochrome P450
PF00068.18,Phospholip_A2_1,Phospholipase A2
PF00069.24,Pkinase,Protein kinase domain
PF00070.26,Pyr_redox,Pyridine nucleotide-disulphide oxidoreductase
PF00071.21,Ras,Ras family
PF00072.23,Response_reg,Response regulator receiver domain
PF00073.19,Rhv,picornavirus capsid protein
PF00074.19,RnaseA,Pancreatic ribonuclease
PF00075.23,RNase_H,RNase H
PF00076.21,RRM_1,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
PF00077.19,RVP,Retroviral aspartyl protease
PF00078.26,RVT_1,Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079.19,Serpin,Serpin (serine protease inhibitor)
PF00080.19,Sod_Cu,Copper/zinc superoxide dismutase (SODC)
PF00081.21,Sod_Fe_N,"Iron/manganese superoxide dismutases, alpha-hairpin domain"
PF00082.21,Peptidase_S8,Subtilase family
PF00083.23,Sugar_tr,Sugar (and other) transporter
PF00084.19,Sushi,Sushi repeat (SCR repeat)
PF00085.19,Thioredoxin,Thioredoxin
PF00086.17,Thyroglobulin_1,Thyroglobulin type-1 repeat
PF00087.20,Toxin_TOLIP,Snake toxin and toxin-like protein
PF00088.17,Trefoil,Trefoil (P-type) domain
PF00089.25,Trypsin,Trypsin
PF00090.18,TSP_1,Thrombospondin type 1 domain
PF00091.24,Tubulin,"Tubulin/FtsZ family, GTPase domain"
PF00092.27,VWA,von Willebrand factor type A domain
PF00093.17,VWC,von Willebrand factor type C domain
PF00094.24,VWD,von Willebrand factor type D domain
PF00095.20,WAP,WAP-type (Whey Acidic Protein) 'four-disulfide core'
PF00096.25,zf-C2H2,"Zinc finger, C2H2 type"
PF00097.24,zf-C3HC4,"Zinc finger, C3HC4 type (RING finger)"
PF00098.22,zf-CCHC,Zinc knuckle
PF00100.22,Zona_pellucida,Zona pellucida-like domain
PF00101.19,RuBisCO_small,"Ribulose bisphosphate carboxylase, small chain"
PF00102.26,Y_phosphatase,Protein-tyrosine phosphatase
PF00103.19,Hormone_1,Somatotropin hormone family
PF00104.29,Hormone_recep,Ligand-binding domain of nuclear hormone receptor
PF00105.17,zf-C4,"Zinc finger, C4 type (two domains)"
PF00106.24,adh_short,short chain dehydrogenase
PF00107.25,ADH_zinc_N,Zinc-binding dehydrogenase
PF00108.22,Thiolase_N,"Thiolase, N-terminal domain"
PF00109.25,ketoacyl-synt,"Beta-ketoacyl synthase, N-terminal domain"
PF00110.18,wnt,wnt family
PF00111.26,Fer2,2Fe-2S iron-sulfur cluster binding domain
PF00112.22,Peptidase_C1,Papain family cysteine protease
PF00113.21,Enolase_C,"Enolase, C-terminal TIM barrel domain"
PF00114.18,Pilin,Pilin (bacterial filament)
PF00115.19,COX1,Cytochrome C and Quinol oxidase polypeptide I
PF00116.19,COX2,"Cytochrome C oxidase subunit II, periplasmic domain"
PF00117.27,GATase,Glutamine amidotransferase class-I
PF00118.23,Cpn60_TCP1,TCP-1/cpn60 chaperonin family
PF00119.19,ATP-synt_A,ATP synthase A chain
PF00120.23,Gln-synt_C,"Glutamine synthetase, catalytic domain"
PF00121.17,TIM,Triosephosphate isomerase
PF00122.19,E1-E2_ATPase,E1-E2 ATPase
PF00123.19,Hormone_2,Peptide hormone
PF00124.18,Photo_RC,Photosynthetic reaction centre protein
PF00125.23,Histone,Core histone H2A/H2B/H3/H4
PF00126.26,HTH_1,"Bacterial regulatory helix-turn-helix protein, lysR family"
PF00127.19,Copper-bind,"Copper binding proteins, plastocyanin/azurin family"
PF00128.23,Alpha-amylase,"Alpha amylase, catalytic domain"
PF00129.17,MHC_I,"Class I Histocompatibility antigen, domains alpha 1 and 2"
PF00130.21,C1_1,Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00131.19,Metallothio,Metallothionein
PF00132.23,Hexapep,Bacterial transferase hexapeptide (six repeats)
PF00133.21,tRNA-synt_1,"tRNA synthetases class I (I, L, M and V)"
PF00134.22,Cyclin_N,"Cyclin, N-terminal domain"
PF00135.27,COesterase,Carboxylesterase family
PF00136.20,DNA_pol_B,DNA polymerase family B
PF00137.20,ATP-synt_C,ATP synthase subunit C
PF00139.18,Lectin_legB,Legume lectin domain
PF00140.19,Sigma70_r1_2,"Sigma-70 factor, region 1.2"
PF00141.22,peroxidase,Peroxidase
PF00142.17,Fer4_NifH,"4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family"
PF00143.18,Interferon,Interferon alpha/beta domain
PF00144.23,Beta-lactamase,Beta-lactamase
PF00145.16,DNA_methylase,C-5 cytosine-specific DNA methylase
PF00146.20,NADHdh,NADH dehydrogenase
PF00147.17,Fibrinogen_C,"Fibrinogen beta and gamma chains, C-terminal globular domain"
PF00148.18,Oxidored_nitro,Nitrogenase component 1 type Oxidoreductase
PF00149.27,Metallophos,Calcineurin-like phosphoesterase
PF00150.17,Cellulase,Cellulase (glycosyl hydrolase family 5)
PF00151.18,Lipase,Lipase
PF00152.19,tRNA-synt_2,"tRNA synthetases class II (D, K and N)"
PF00153.26,Mito_carr,Mitochondrial carrier protein
PF00154.20,RecA,recA bacterial DNA recombination protein
PF00155.20,Aminotran_1_2,Aminotransferase class I and II
PF00156.26,Pribosyltran,Phosphoribosyl transferase domain
PF00157.16,Pou,Pou domain - N-terminal to homeobox domain
PF00158.25,Sigma54_activat,Sigma-54 interaction domain
PF00159.17,Hormone_3,Pancreatic hormone peptide
PF00160.20,Pro_isomerase,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00161.18,RIP,Ribosome inactivating protein
PF00162.18,PGK,Phosphoglycerate kinase
PF00163.18,Ribosomal_S4,Ribosomal protein S4/S9 N-terminal domain
PF00164.24,Ribosom_S12_S23,Ribosomal protein S12/S23
PF00165.22,HTH_AraC,"Bacterial regulatory helix-turn-helix proteins, AraC family"
PF00166.20,Cpn10,Chaperonin 10 Kd subunit
PF00167.17,FGF,Fibroblast growth factor
PF00168.29,C2,C2 domain
PF00169.28,PH,PH domain
PF00170.20,bZIP_1,bZIP transcription factor
PF00171.21,Aldedh,Aldehyde dehydrogenase family
PF00172.17,Zn_clus,Fungal Zn(2)-Cys(6) binuclear cluster domain
PF00173.27,Cyt-b5,Cytochrome b5-like Heme/Steroid binding domain
PF00174.18,Oxidored_molyb,Oxidoreductase molybdopterin binding domain
PF00175.20,NAD_binding_1,Oxidoreductase NAD-binding domain
PF00176.22,SNF2_N,SNF2 family N-terminal domain
PF00177.20,Ribosomal_S7,Ribosomal protein S7p/S5e
PF00178.21,Ets,Ets-domain
PF00179.25,UQ_con,Ubiquitin-conjugating enzyme
PF00180.19,Iso_dh,Isocitrate/isopropylmalate dehydrogenase
PF00181.22,Ribosomal_L2,"Ribosomal Proteins L2, RNA binding domain"
PF00182.18,Glyco_hydro_19,Chitinase class I
PF00183.17,HSP90,Hsp90 protein
PF00184.16,Hormone_5,"Neurohypophysial hormones, C-terminal Domain"
PF00185.23,OTCace,"Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain"
PF00186.18,DHFR_1,Dihydrofolate reductase
PF00187.18,Chitin_bind_1,Chitin recognition protein
PF00188.25,CAP,Cysteine-rich secretory protein family
PF00189.19,Ribosomal_S3_C,"Ribosomal protein S3, C-terminal domain"
PF00190.21,Cupin_1,Cupin
PF00191.19,Annexin,Annexin
PF00193.16,Xlink,Extracellular link domain
PF00194.20,Carb_anhydrase,Eukaryotic-type carbonic anhydrase
PF00195.18,Chal_sti_synt_N,"Chalcone and stilbene synthases, N-terminal domain"
PF00196.18,GerE,"Bacterial regulatory proteins, luxR family"
PF00197.17,Kunitz_legume,Trypsin and protease inhibitor
PF00198.22,2-oxoacid_dh,2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199.18,Catalase,Catalase
PF00200.22,Disintegrin,Disintegrin
PF00201.17,UDPGT,UDP-glucoronosyl and UDP-glucosyl transferase
PF00202.20,Aminotran_3,Aminotransferase class-III
PF00203.20,Ribosomal_S19,Ribosomal protein S19
PF00204.24,DNA_gyraseB,DNA gyrase B
PF00205.21,TPP_enzyme_M,"Thiamine pyrophosphate enzyme, central domain"
PF00206.19,Lyase_1,Lyase
PF00207.21,A2M,Alpha-2-macroglobulin family
PF00208.20,ELFV_dehydrog,Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00209.17,SNF,Sodium:neurotransmitter symporter family
PF00210.23,Ferritin,Ferritin-like domain
PF00211.19,Guanylate_cyc,Adenylate and Guanylate cyclase catalytic domain
PF00212.17,ANP,Atrial natriuretic peptide
PF00213.17,OSCP,ATP synthase delta (OSCP) subunit
PF00214.18,Calc_CGRP_IAPP,Calcitonin / CGRP / IAPP family
PF00215.23,OMPdecase,Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00216.20,Bac_DNA_binding,Bacterial DNA-binding protein
PF00217.18,ATP-gua_Ptrans,"ATP:guanido phosphotransferase, C-terminal catalytic domain"
PF00218.20,IGPS,Indole-3-glycerol phosphate synthase
PF00219.17,IGFBP,Insulin-like growth factor binding protein
PF00220.16,Hormone_4,"Neurohypophysial hormones, N-terminal Domain"
PF00221.18,Lyase_aromatic,Aromatic amino acid lyase
PF00223.18,PsaA_PsaB,Photosystem I psaA/psaB protein
PF00224.20,PK,"Pyruvate kinase, barrel domain"
PF00225.22,Kinesin,Kinesin motor domain
PF00226.30,DnaJ,DnaJ domain
PF00227.25,Proteasome,Proteasome subunit
PF00228.19,Bowman-Birk_leg,Bowman-Birk serine protease inhibitor family
PF00229.17,TNF,TNF(Tumour Necrosis Factor) family
PF00230.19,MIP,Major intrinsic protein
PF00231.18,ATP-synt,ATP synthase
PF00232.17,Glyco_hydro_1,Glycosyl hydrolase family 1
PF00233.18,PDEase_I,3'5'-cyclic nucleotide phosphodiesterase
PF00234.21,Tryp_alpha_amyl,Protease inhibitor/seed storage/LTP family
PF00235.18,Profilin,Profilin
PF00236.17,Hormone_6,Glycoprotein hormone
PF00237.18,Ribosomal_L22,Ribosomal protein L22p/L17e
PF00238.18,Ribosomal_L14,Ribosomal protein L14p/L23e
PF00239.20,Resolvase,"Resolvase, N terminal domain"
PF00240.22,ubiquitin,Ubiquitin family
PF00241.19,Cofilin_ADF,Cofilin/tropomyosin-type actin-binding protein
PF00242.16,DNA_pol_viral_N,DNA polymerase (viral) N-terminal domain
PF00243.17,NGF,Nerve growth factor family
PF00244.19,14/03/2003,14-3-3 protein
PF00245.19,Alk_phosphatase,Alkaline phosphatase
PF00246.23,Peptidase_M14,Zinc carboxypeptidase
PF00248.20,Aldo_ket_red,Aldo/keto reductase family
PF00249.30,Myb_DNA-binding,Myb-like DNA-binding domain
PF00250.17,Forkhead,Forkhead domain
PF00251.19,Glyco_hydro_32N,Glycosyl hydrolases family 32 N-terminal domain
PF00252.17,Ribosomal_L16,Ribosomal protein L16p/L10e
PF00253.20,Ribosomal_S14,Ribosomal protein S14p/S29e
PF00254.27,FKBP_C,FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255.18,GSHPx,Glutathione peroxidase
PF00257.18,Dehydrin,Dehydrin
PF00258.24,Flavodoxin_1,Flavodoxin
PF00260.19,Protamine_P1,Protamine P1
PF00261.19,Tropomyosin,Tropomyosin
PF00262.17,Calreticulin,Calreticulin family
PF00263.20,Secretin,Bacterial type II and III secretion system protein
PF00264.19,Tyrosinase,Common central domain of tyrosinase
PF00265.17,TK,Thymidine kinase
PF00266.18,Aminotran_5,Aminotransferase class-V
PF00267.20,Porin_1,Gram-negative porin
PF00268.20,Ribonuc_red_sm,"Ribonucleotide reductase, small chain"
PF00269.19,SASP,"Small, acid-soluble spore proteins, alpha/beta type"
PF00270.28,DEAD,DEAD/DEAH box helicase
PF00271.30,Helicase_C,Helicase conserved C-terminal domain
PF00272.18,Cecropin,Cecropin family
PF00273.19,Serum_albumin,Serum albumin family
PF00274.18,Glycolytic,Fructose-bisphosphate aldolase class-I
PF00275.19,EPSP_synthase,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00276.19,Ribosomal_L23,Ribosomal protein L23
PF00277.17,SAA,Serum amyloid A protein
PF00278.21,Orn_DAP_Arg_deC,"Pyridoxal-dependent decarboxylase, C-terminal sheet domain"
PF00280.17,potato_inhibit,Potato inhibitor I family
PF00281.18,Ribosomal_L5,Ribosomal protein L5
PF00282.18,Pyridoxal_deC,Pyridoxal-dependent decarboxylase conserved domain
PF00283.18,Cytochrom_B559,"Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits"
PF00284.19,Cytochrom_B559a,"Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit"
PF00285.20,Citrate_synt,"Citrate synthase, C-terminal domain"
PF00286.19,Flexi_CP,Viral coat protein
PF00287.17,Na_K-ATPase,Sodium / potassium ATPase beta chain
PF00288.25,GHMP_kinases_N,GHMP kinases N terminal domain
PF00289.21,Biotin_carb_N,"Biotin carboxylase, N-terminal domain"
PF00290.19,Trp_syntA,Tryptophan synthase alpha chain
PF00291.24,PALP,Pyridoxal-phosphate dependent enzyme
PF00292.17,PAX,'Paired box' domain
PF00293.27,NUDIX,NUDIX domain
PF00294.23,PfkB,pfkB family carbohydrate kinase
PF00295.16,Glyco_hydro_28,Glycosyl hydrolases family 28
PF00296.19,Bac_luciferase,Luciferase-like monooxygenase
PF00297.21,Ribosomal_L3,Ribosomal protein L3
PF00298.18,Ribosomal_L11,"Ribosomal protein L11, RNA binding domain"
PF00299.17,Squash,Squash family serine protease inhibitor
PF00300.21,His_Phos_1,Histidine phosphatase superfamily (branch 1)
PF00301.19,Rubredoxin,Rubredoxin
PF00302.17,CAT,Chloramphenicol acetyltransferase
PF00303.18,Thymidylat_synt,Thymidylate synthase
PF00304.19,Gamma-thionin,Gamma-thionin family
PF00305.18,Lipoxygenase,Lipoxygenase
PF00306.26,ATP-synt_ab_C,"ATP synthase alpha/beta chain, C terminal domain"
PF00307.30,CH,Calponin homology (CH) domain
PF00308.17,Bac_DnaA,Bacterial dnaA protein
PF00309.19,Sigma54_AID,"Sigma-54 factor, Activator interacting domain (AID)"
PF00310.20,GATase_2,Glutamine amidotransferases class-II
PF00311.16,PEPcase,Phosphoenolpyruvate carboxylase
PF00312.21,Ribosomal_S15,Ribosomal protein S15
PF00313.21,CSD,'Cold-shock' DNA-binding domain
PF00314.16,Thaumatin,Thaumatin family
PF00316.19,FBPase,"Fructose-1-6-bisphosphatase, N-terminal domain"
PF00317.20,Ribonuc_red_lgN,"Ribonucleotide reductase, all-alpha domain"
PF00318.19,Ribosomal_S2,Ribosomal protein S2
PF00319.17,SRF-TF,SRF-type transcription factor (DNA-binding and dimerisation domain)
PF00320.26,GATA,GATA zinc finger
PF00321.16,Thionin,Plant thionin
PF00322.16,Endothelin,Endothelin family
PF00323.18,Defensin_1,Mammalian defensin
PF00324.20,AA_permease,Amino acid permease
PF00325.19,Crp,"Bacterial regulatory proteins, crp family"
PF00326.20,Peptidase_S9,Prolyl oligopeptidase family
PF00327.19,Ribosomal_L30,Ribosomal protein L30p/L7e
PF00328.21,His_Phos_2,Histidine phosphatase superfamily (branch 2)
PF00329.18,Complex1_30kDa,"Respiratory-chain NADH dehydrogenase, 30 Kd subunit"
PF00330.19,Aconitase,Aconitase family (aconitate hydratase)
PF00331.19,Glyco_hydro_10,Glycosyl hydrolase family 10
PF00332.17,Glyco_hydro_17,Glycosyl hydrolases family 17
PF00333.19,Ribosomal_S5,"Ribosomal protein S5, N-terminal domain"
PF00334.18,NDK,Nucleoside diphosphate kinase
PF00335.19,Tetraspannin,Tetraspanin family
PF00336.17,DNA_pol_viral_C,DNA polymerase (viral) C-terminal domain
PF00337.21,Gal-bind_lectin,Galactoside-binding lectin
PF00338.21,Ribosomal_S10,Ribosomal protein S10p/S20e
PF00339.28,Arrestin_N,"Arrestin (or S-antigen), N-terminal domain"
PF00340.18,IL1,Interleukin-1 / 18
PF00341.16,PDGF,PDGF/VEGF domain
PF00342.18,PGI,Phosphoglucose isomerase
PF00343.19,Phosphorylase,Carbohydrate phosphorylase
PF00344.19,SecY,SecY translocase
PF00345.19,PapD_N,"Pili and flagellar-assembly chaperone, PapD N-terminal domain"
PF00346.18,Complex1_49kDa,"Respiratory-chain NADH dehydrogenase, 49 Kd subunit"
PF00347.22,Ribosomal_L6,Ribosomal protein L6
PF00348.16,polyprenyl_synt,Polyprenyl synthetase
PF00349.20,Hexokinase_1,Hexokinase
PF00350.22,Dynamin_N,Dynamin family
PF00351.20,Biopterin_H,Biopterin-dependent aromatic amino acid hydroxylase
PF00352.20,TBP,"Transcription factor TFIID (or TATA-binding protein, TBP)"
PF00353.18,HemolysinCabind,Haemolysin-type calcium-binding repeat (2 copies)
PF00354.16,Pentaxin,Pentaxin family
PF00355.25,Rieske,Rieske [2Fe-2S] domain
PF00356.20,LacI,"Bacterial regulatory proteins, lacI family"
PF00357.19,Integrin_alpha,Integrin alpha cytoplasmic region
PF00358.19,PTS_EIIA_1,"phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1"
PF00359.21,PTS_EIIA_2,"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2"
PF00360.19,PHY,Phytochrome region
PF00361.19,Proton_antipo_M,Proton-conducting membrane transporter
PF00362.17,Integrin_beta,Integrin beta chain VWA domain
PF00363.17,Casein,Casein
PF00364.21,Biotin_lipoyl,Biotin-requiring enzyme
PF00365.19,PFK,Phosphofructokinase
PF00366.19,Ribosomal_S17,Ribosomal protein S17
PF00367.19,PTS_EIIB,"phosphotransferase system, EIIB"
PF00368.17,HMG-CoA_red,Hydroxymethylglutaryl-coenzyme A reductase
PF00370.20,FGGY_N,"FGGY family of carbohydrate kinases, N-terminal domain"
PF00372.18,Hemocyanin_M,"Hemocyanin, copper containing domain"
PF00373.17,FERM_M,FERM central domain
PF00374.18,NiFeSe_Hases,Nickel-dependent hydrogenase
PF00375.17,SDF,Sodium:dicarboxylate symporter family
PF00376.22,MerR,MerR family regulatory protein
PF00377.17,Prion,Prion/Doppel alpha-helical domain
PF00378.19,ECH_1,Enoyl-CoA hydratase/isomerase
PF00379.22,Chitin_bind_4,Insect cuticle protein
PF00380.18,Ribosomal_S9,Ribosomal protein S9/S16
PF00381.18,PTS-HPr,PTS HPr component phosphorylation site
PF00382.18,TFIIB,Transcription factor TFIIB repeat
PF00383.22,dCMP_cyt_deam_1,Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384.21,Molybdopterin,Molybdopterin oxidoreductase
PF00385.23,Chromo,Chromo (CHRromatin Organisation MOdifier) domain
PF00386.20,C1q,C1q domain
PF00387.18,PI-PLC-Y,"Phosphatidylinositol-specific phospholipase C, Y domain"
PF00388.18,PI-PLC-X,"Phosphatidylinositol-specific phospholipase C, X domain"
PF00389.29,2-Hacid_dh,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain"
PF00390.18,malic,"Malic enzyme, N-terminal domain"
PF00391.22,PEP-utilizers,"PEP-utilising enzyme, mobile domain"
PF00392.20,GntR,"Bacterial regulatory proteins, gntR family"
PF00393.18,6PGD,"6-phosphogluconate dehydrogenase, C-terminal domain"
PF00394.21,Cu-oxidase,Multicopper oxidase
PF00395.19,SLH,S-layer homology domain
PF00396.17,Granulin,Granulin
PF00397.25,WW,WW domain
PF00398.19,RrnaAD,Ribosomal RNA adenine dimethylase
PF00399.18,PIR,Yeast PIR protein repeat
PF00400.31,WD40,"WD domain, G-beta repeat"
PF00401.19,ATP-synt_DE,"ATP synthase, Delta/Epsilon chain, long alpha-helix domain"
PF00402.17,Calponin,Calponin family repeat
PF00403.25,HMA,Heavy-metal-associated domain
PF00404.17,Dockerin_1,Dockerin type I repeat
PF00405.16,Transferrin,Transferrin
PF00406.21,ADK,Adenylate kinase
PF00407.18,Bet_v_1,Pathogenesis-related protein Bet v I family
PF00408.19,PGM_PMM_IV,"Phosphoglucomutase/phosphomannomutase, C-terminal domain"
PF00410.18,Ribosomal_S8,Ribosomal protein S8
PF00411.18,Ribosomal_S11,Ribosomal protein S11
PF00412.21,LIM,LIM domain
PF00413.23,Peptidase_M10,Matrixin
PF00414.16,MAP1B_neuraxin,Neuraxin and MAP1B repeat
PF00415.17,RCC1,Regulator of chromosome condensation (RCC1) repeat
PF00416.21,Ribosomal_S13,Ribosomal protein S13/S18
PF00418.18,Tubulin-binding,"Tau and MAP protein, tubulin-binding repeat"
PF00419.19,Fimbrial,Fimbrial protein
PF00420.23,Oxidored_q2,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00421.18,PSII,Photosystem II protein
PF00423.18,HN,Haemagglutinin-neuraminidase
PF00424.17,REV,REV protein (anti-repression trans-activator protein)
PF00425.17,Chorismate_bind,chorismate binding enzyme
PF00426.17,VP4_haemagglut,Outer Capsid protein VP4 (Hemagglutinin) Concanavalin-like domain
PF00427.20,PBS_linker_poly,Phycobilisome Linker polypeptide
PF00428.18,Ribosomal_60s,60s Acidic ribosomal protein
PF00429.18,TLV_coat,ENV polyprotein (coat polyprotein)
PF00430.17,ATP-synt_B,ATP synthase B/B' CF(0)
PF00431.19,CUB,CUB domain
PF00432.20,Prenyltrans,Prenyltransferase and squalene oxidase repeat
PF00433.23,Pkinase_C,Protein kinase C terminal domain
PF00434.17,VP7,Glycoprotein VP7
PF00435.20,Spectrin,Spectrin repeat
PF00436.24,SSB,Single-strand binding protein family
PF00437.19,T2SSE,Type II/IV secretion system protein
PF00438.19,S-AdoMet_synt_N,"S-adenosylmethionine synthetase, N-terminal domain"
PF00439.24,Bromodomain,Bromodomain
PF00440.22,TetR_N,"Bacterial regulatory proteins, tetR family"
PF00441.23,Acyl-CoA_dh_1,"Acyl-CoA dehydrogenase, C-terminal domain"
PF00443.28,UCH,Ubiquitin carboxyl-terminal hydrolase
PF00444.17,Ribosomal_L36,Ribosomal protein L36
PF00445.17,Ribonuclease_T2,Ribonuclease T2 family
PF00446.16,GnRH,Gonadotropin-releasing hormone
PF00447.16,HSF_DNA-bind,HSF-type DNA-binding
PF00448.21,SRP54,"SRP54-type protein, GTPase domain"
PF00449.19,Urease_alpha,"Urease alpha-subunit, N-terminal domain"
PF00450.21,Peptidase_S10,Serine carboxypeptidase
PF00451.18,Toxin_2,"Scorpion short toxin, BmKK2"
PF00452.18,Bcl-2,"Apoptosis regulator proteins, Bcl-2 family"
PF00453.17,Ribosomal_L20,Ribosomal protein L20
PF00454.26,PI3_PI4_kinase,Phosphatidylinositol 3- and 4-kinase
PF00455.21,DeoRC,DeoR C terminal sensor domain
PF00456.20,Transketolase_N,"Transketolase, thiamine diphosphate binding domain"
PF00457.16,Glyco_hydro_11,Glycosyl hydrolases family 11
PF00458.19,WHEP-TRS,WHEP-TRS domain
PF00459.24,Inositol_P,Inositol monophosphatase family
PF00460.19,Flg_bb_rod,Flagella basal body rod protein
PF00462.23,Glutaredoxin,Glutaredoxin
PF00463.20,ICL,Isocitrate lyase family
PF00464.18,SHMT,Serine hydroxymethyltransferase
PF00465.18,Fe-ADH,Iron-containing alcohol dehydrogenase
PF00466.19,Ribosomal_L10,Ribosomal protein L10
PF00467.28,KOW,KOW motif
PF00468.16,Ribosomal_L34,Ribosomal protein L34
PF00469.19,F-protein,"Negative factor, (F-Protein) or Nef"
PF00471.19,Ribosomal_L33,Ribosomal protein L33
PF00472.19,RF-1,RF-1 domain
PF00473.16,CRF,Corticotropin-releasing factor family
PF00474.16,SSF,Sodium:solute symporter family
PF00475.17,IGPD,Imidazoleglycerol-phosphate dehydratase
PF00476.19,DNA_pol_A,DNA polymerase family A
PF00477.16,LEA_5,Small hydrophilic plant seed protein
PF00478.24,IMPDH,IMP dehydrogenase / GMP reductase domain
PF00479.21,G6PD_N,"Glucose-6-phosphate dehydrogenase, NAD binding domain"
PF00480.19,ROK,ROK family
PF00481.20,PP2C,Protein phosphatase 2C
PF00482.22,T2SSF,"Type II secretion system (T2SS), protein F"
PF00483.22,NTP_transferase,Nucleotidyl transferase
PF00484.18,Pro_CA,Carbonic anhydrase
PF00485.17,PRK,Phosphoribulokinase / Uridine kinase family
PF00486.27,Trans_reg_C,"Transcriptional regulatory protein, C terminal"
PF00487.23,FA_desaturase,Fatty acid desaturase
PF00488.20,MutS_V,MutS domain V
